CynoEnsembl	Gene	Gene_type	Description	HumanEnsembl	Gene_Human
ENSMFAG00000000036	SLC5A5	protein_coding	solute carrier family 5 member 5 [Source:HGNC Symbol;Acc:HGNC:11040]	ENSG00000105641	SLC5A5
ENSMFAG00000000037	GRB2	protein_coding	growth factor receptor bound protein 2 [Source:NCBI gene;Acc:102118276]	ENSG00000177885	GRB2
ENSMFAG00000000038	EEA1	protein_coding	early endosome antigen 1 [Source:HGNC Symbol;Acc:HGNC:3185]	ENSG00000102189	EEA1
ENSMFAG00000000039	ID2	protein_coding	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	ENSG00000115738	ID2
ENSMFAG00000000040	ADAMTS13	protein_coding	ADAM metallopeptidase with thrombospondin type 1 motif 13 [Source:HGNC Symbol;Acc:HGNC:1366]	ENSG00000160323	ADAMTS13
ENSMFAG00000000041	HS3ST2	protein_coding	heparan sulfate-glucosamine 3-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:5195]	ENSG00000122254	HS3ST2
ENSMFAG00000000042	KRR1	protein_coding	"KRR1, small subunit processome component homolog [Source:HGNC Symbol;Acc:HGNC:5176]"	ENSG00000111615	KRR1
ENSMFAG00000000043	MCCC1	protein_coding	methylcrotonoyl-CoA carboxylase 1 [Source:HGNC Symbol;Acc:HGNC:6936]	ENSG00000078070	MCCC1
ENSMFAG00000000044	FKBP3	protein_coding	FK506 binding protein 3 [Source:NCBI gene;Acc:101866842]	ENSG00000100442	FKBP3
ENSMFAG00000000045		protein_coding	ATPase H+ transporting V1 subunit A [Source:NCBI gene;Acc:102128783]	ENSG00000114573	ATP6V1A
ENSMFAG00000000046		protein_coding	putative protein SSX6 [Source:NCBI gene;Acc:102120735]		
ENSMFAG00000000047	TAAR9	protein_coding	trace amine associated receptor 9 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:20977]	ENSG00000237110	TAAR9
ENSMFAG00000000048	MGAM	protein_coding	maltase-glucoamylase [Source:HGNC Symbol;Acc:HGNC:7043]	ENSG00000257335	MGAM
ENSMFAG00000000049	C1orf185	protein_coding	chromosome 1 open reading frame 185 [Source:HGNC Symbol;Acc:HGNC:28096]	ENSG00000204006	C1orf185
ENSMFAG00000000050	FRMD4A	protein_coding	FERM domain containing 4A [Source:HGNC Symbol;Acc:HGNC:25491]	ENSG00000151474	FRMD4A
ENSMFAG00000000051	ITPRIPL1	protein_coding	ITPRIP like 1 [Source:HGNC Symbol;Acc:HGNC:29371]	ENSG00000198885	ITPRIPL1
ENSMFAG00000000052		pseudogene	spindlin-2B [Source:NCBI gene;Acc:102120499]		
ENSMFAG00000000053	NAPA	protein_coding	NSF attachment protein alpha [Source:NCBI gene;Acc:102125468]	ENSG00000105402	NAPA
ENSMFAG00000000054		protein_coding	submaxillary gland androgen-regulated protein 3A [Source:NCBI gene;Acc:102116262]		
ENSMFAG00000000055	AXIN2	protein_coding	axin 2 [Source:HGNC Symbol;Acc:HGNC:904]	ENSG00000168646	AXIN2
ENSMFAG00000000056		protein_coding			
ENSMFAG00000000057		protein_coding			
ENSMFAG00000000058	IL23A	protein_coding	interleukin 23 subunit alpha [Source:NCBI gene;Acc:102128555]	ENSG00000110944	IL23A
ENSMFAG00000000059	GEMIN8	protein_coding	gem nuclear organelle associated protein 8 [Source:HGNC Symbol;Acc:HGNC:26044]	ENSG00000046647	GEMIN8
ENSMFAG00000000060	OSTN	protein_coding	osteocrin [Source:HGNC Symbol;Acc:HGNC:29961]	ENSG00000188729	OSTN
ENSMFAG00000000061		protein_coding	zinc finger protein 527 [Source:NCBI gene;Acc:102128537]	ENSG00000181666	HKR1
ENSMFAG00000000062	TBC1D9B	protein_coding	TBC1 domain family member 9B [Source:HGNC Symbol;Acc:HGNC:29097]	ENSG00000197226	TBC1D9B
ENSMFAG00000000063		protein_coding	ribonuclease H1 [Source:NCBI gene;Acc:102117993]	ENSG00000171865	RNASEH1
ENSMFAG00000000064	MCMBP	protein_coding	minichromosome maintenance complex binding protein [Source:HGNC Symbol;Acc:HGNC:25782]	ENSG00000197771	MCMBP
ENSMFAG00000000065	SLC38A5	protein_coding	solute carrier family 38 member 5 [Source:HGNC Symbol;Acc:HGNC:18070]	ENSG00000017483	SLC38A5
ENSMFAG00000000066	GPBP1	protein_coding	GC-rich promoter binding protein 1 [Source:HGNC Symbol;Acc:HGNC:29520]	ENSG00000062194	GPBP1
ENSMFAG00000000067	TDP1	protein_coding	tyrosyl-DNA phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:18884]	ENSG00000042088	TDP1
ENSMFAG00000000068	IL22RA1	protein_coding	interleukin 22 receptor subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:13700]	ENSG00000142677	IL22RA1
ENSMFAG00000000069		protein_coding			
ENSMFAG00000000070	POMGNT1	protein_coding	"protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-) [Source:HGNC Symbol;Acc:HGNC:19139]"	ENSG00000085998	POMGNT1
ENSMFAG00000000071		protein_coding		ENSG00000159658	EFCAB14
ENSMFAG00000000072	EDA2R	protein_coding	ectodysplasin A2 receptor [Source:HGNC Symbol;Acc:HGNC:17756]	ENSG00000131080	EDA2R
ENSMFAG00000000073	GNS	protein_coding	glucosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4422]	ENSG00000135677	GNS
ENSMFAG00000000074	FYN	protein_coding	"FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]"	ENSG00000010810	FYN
ENSMFAG00000000075	RNF25	protein_coding	ring finger protein 25 [Source:HGNC Symbol;Acc:HGNC:14662]	ENSG00000163481	RNF25
ENSMFAG00000000076	CD247	protein_coding	CD247 molecule [Source:NCBI gene;Acc:102118501]	ENSG00000198821	CD247
ENSMFAG00000000077	TBC1D15	protein_coding	TBC1 domain family member 15 [Source:HGNC Symbol;Acc:HGNC:25694]	ENSG00000121749	TBC1D15
ENSMFAG00000000078	USP15	protein_coding	ubiquitin specific peptidase 15 [Source:HGNC Symbol;Acc:HGNC:12613]	ENSG00000135655	USP15
ENSMFAG00000000079	MEF2B	protein_coding	myocyte enhancer factor 2B [Source:HGNC Symbol;Acc:HGNC:6995]	ENSG00000213999	MEF2B
ENSMFAG00000000080	FAM57A	protein_coding	family with sequence similarity 57 member A [Source:HGNC Symbol;Acc:HGNC:29646]	ENSG00000167695	FAM57A
ENSMFAG00000000081	PSMA5	protein_coding	proteasome subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:9534]	ENSG00000143106	PSMA5
ENSMFAG00000000082	ROBO2	protein_coding	roundabout guidance receptor 2 [Source:HGNC Symbol;Acc:HGNC:10250]	ENSG00000185008	ROBO2
ENSMFAG00000000083	ZG16	protein_coding	zymogen granule protein 16 [Source:HGNC Symbol;Acc:HGNC:30961]	ENSG00000174992	ZG16
ENSMFAG00000000084	SAPCD1	protein_coding	suppressor APC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13938]	ENSG00000228727	SAPCD1
ENSMFAG00000000085		protein_coding	insulin like growth factor binding protein 6 [Source:NCBI gene;Acc:102135537]	ENSG00000167779	IGFBP6
ENSMFAG00000000086	TDG	protein_coding	thymine DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:11700]	ENSG00000139372	TDG
ENSMFAG00000000087		protein_coding			
ENSMFAG00000000088	MED31	protein_coding	mediator complex subunit 31 [Source:HGNC Symbol;Acc:HGNC:24260]	ENSG00000108590	MED31
ENSMFAG00000000089	LCN10	protein_coding	lipocalin 10 [Source:HGNC Symbol;Acc:HGNC:20892]	ENSG00000187922	LCN10
ENSMFAG00000000090	CDA	protein_coding	cytidine deaminase [Source:HGNC Symbol;Acc:HGNC:1712]	ENSG00000158825	CDA
ENSMFAG00000000091	SIAH3	protein_coding	siah E3 ubiquitin protein ligase family member 3 [Source:HGNC Symbol;Acc:HGNC:30553]	ENSG00000215475	SIAH3
ENSMFAG00000000092	TCTE3	protein_coding	t-complex-associated-testis-expressed 3 [Source:HGNC Symbol;Acc:HGNC:11695]	ENSG00000184786	TCTE3
ENSMFAG00000000093	GAL3ST2	protein_coding	galactose-3-O-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:24869]	ENSG00000154252	GAL3ST2
ENSMFAG00000000094	DYNC1I1	protein_coding	dynein cytoplasmic 1 intermediate chain 1 [Source:NCBI gene;Acc:101865816]	ENSG00000158560	DYNC1I1
ENSMFAG00000000095	TRDN	protein_coding	triadin [Source:HGNC Symbol;Acc:HGNC:12261]	ENSG00000186439	TRDN
ENSMFAG00000000096	SLIT2	protein_coding	slit guidance ligand 2 [Source:HGNC Symbol;Acc:HGNC:11086]	ENSG00000145147	SLIT2
ENSMFAG00000000097	ALB	protein_coding	"Macaca fascicularis albumin (ALB), mRNA. [Source:RefSeq mRNA;Acc:NM_001319355]"	ENSG00000163631	ALB
ENSMFAG00000000098	PROKR2	protein_coding	prokineticin receptor 2 [Source:HGNC Symbol;Acc:HGNC:15836]	ENSG00000101292	PROKR2
ENSMFAG00000000099	HOXD9	protein_coding	homeobox D9 [Source:HGNC Symbol;Acc:HGNC:5140]	ENSG00000128709	HOXD9
ENSMFAG00000000100		pseudogene			
ENSMFAG00000000101	HOXC5	protein_coding	homeobox C5 [Source:HGNC Symbol;Acc:HGNC:5127]	ENSG00000172789	HOXC5
ENSMFAG00000000102	LRIG2	protein_coding	leucine rich repeats and immunoglobulin like domains 2 [Source:HGNC Symbol;Acc:HGNC:20889]	ENSG00000198799	LRIG2
ENSMFAG00000000103	CFAP126	protein_coding	cilia and flagella associated protein 126 [Source:HGNC Symbol;Acc:HGNC:32325]	ENSG00000188931	CFAP126
ENSMFAG00000000104		protein_coding			
ENSMFAG00000000105	SLC24A1	protein_coding	solute carrier family 24 member 1 [Source:HGNC Symbol;Acc:HGNC:10975]	ENSG00000074621	SLC24A1
ENSMFAG00000000106	PRIMA1	protein_coding	proline rich membrane anchor 1 [Source:HGNC Symbol;Acc:HGNC:18319]	ENSG00000175785	PRIMA1
ENSMFAG00000000107	PSEN2	protein_coding	presenilin 2 [Source:HGNC Symbol;Acc:HGNC:9509]	ENSG00000143801	PSEN2
ENSMFAG00000000108	YY1	protein_coding	YY1 transcription factor [Source:HGNC Symbol;Acc:HGNC:12856]	ENSG00000100811	YY1
ENSMFAG00000000109	ATF1	protein_coding	activating transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:783]	ENSG00000123268	ATF1
ENSMFAG00000000110	PLEKHA7	protein_coding	pleckstrin homology domain containing A7 [Source:HGNC Symbol;Acc:HGNC:27049]	ENSG00000166689	PLEKHA7
ENSMFAG00000000111	CD200	protein_coding	CD200 molecule [Source:HGNC Symbol;Acc:HGNC:7203]	ENSG00000091972	CD200
ENSMFAG00000000112		protein_coding		ENSG00000234545	FAM133B
ENSMFAG00000000113	PSEN1	protein_coding	presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]	ENSG00000080815	PSEN1
ENSMFAG00000000114	SLFN13	protein_coding	schlafen family member 13 [Source:HGNC Symbol;Acc:HGNC:26481]	ENSG00000154760	SLFN13
ENSMFAG00000000115	RAB25	protein_coding	"RAB25, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18238]"	ENSG00000132698	RAB25
ENSMFAG00000000116		protein_coding			
ENSMFAG00000000117	RAB44	protein_coding	"RAB44, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:21068]"	ENSG00000255587	RAB44
ENSMFAG00000000118	FAM234B	protein_coding	family with sequence similarity 234 member B [Source:HGNC Symbol;Acc:HGNC:29288]	ENSG00000084444	FAM234B
ENSMFAG00000000119	VSTM5	protein_coding	V-set and transmembrane domain containing 5 [Source:HGNC Symbol;Acc:HGNC:34443]	ENSG00000214376	VSTM5
ENSMFAG00000000120	BTBD10	protein_coding	BTB domain containing 10 [Source:HGNC Symbol;Acc:HGNC:21445]	ENSG00000148925	BTBD10
ENSMFAG00000000121	KCNH1	protein_coding	potassium voltage-gated channel subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:6250]	ENSG00000143473	KCNH1
ENSMFAG00000000122		pseudogene			
ENSMFAG00000000123		protein_coding	beta-defensin 106A [Source:NCBI gene;Acc:102120931]	ENSG00000186579	DEFB106A
ENSMFAG00000000124	CSPG5	protein_coding	chondroitin sulfate proteoglycan 5 [Source:NCBI gene;Acc:102128116]	ENSG00000114646	CSPG5
ENSMFAG00000000125	RPRD1A	protein_coding	regulation of nuclear pre-mRNA domain containing 1A [Source:HGNC Symbol;Acc:HGNC:25560]	ENSG00000141425	RPRD1A
ENSMFAG00000000126		protein_coding			
ENSMFAG00000000127	SLC22A7	protein_coding	solute carrier family 22 member 7 [Source:HGNC Symbol;Acc:HGNC:10971]	ENSG00000137204	SLC22A7
ENSMFAG00000000128	RAP1GDS1	protein_coding	Rap1 GTPase-GDP dissociation stimulator 1 [Source:HGNC Symbol;Acc:HGNC:9859]	ENSG00000138698	RAP1GDS1
ENSMFAG00000000129	PLA2G7	protein_coding	phospholipase A2 group VII [Source:HGNC Symbol;Acc:HGNC:9040]	ENSG00000146070	PLA2G7
ENSMFAG00000000130	DIDO1	protein_coding	death inducer-obliterator 1 [Source:HGNC Symbol;Acc:HGNC:2680]	ENSG00000101191	DIDO1
ENSMFAG00000000131	SLC2A8	protein_coding	solute carrier family 2 member 8 [Source:HGNC Symbol;Acc:HGNC:13812]	ENSG00000136856	SLC2A8
ENSMFAG00000000132	PPP2R1A	protein_coding	protein phosphatase 2 scaffold subunit Aalpha [Source:NCBI gene;Acc:101867273]	ENSG00000105568	PPP2R1A
ENSMFAG00000000133	ENTPD6	protein_coding	ectonucleoside triphosphate diphosphohydrolase 6 (putative) [Source:HGNC Symbol;Acc:HGNC:3368]	ENSG00000197586	ENTPD6
ENSMFAG00000000134	DLK2	protein_coding	delta like non-canonical Notch ligand 2 [Source:HGNC Symbol;Acc:HGNC:21113]	ENSG00000171462	DLK2
ENSMFAG00000000135		protein_coding	putative trypsin-6 [Source:NCBI gene;Acc:102126989]	ENSG00000010438	PRSS3
ENSMFAG00000000136	BRS3	protein_coding	bombesin receptor subtype 3 [Source:HGNC Symbol;Acc:HGNC:1113]	ENSG00000102239	BRS3
ENSMFAG00000000137		protein_coding			
ENSMFAG00000000138	RPTOR	protein_coding	regulatory associated protein of MTOR complex 1 [Source:HGNC Symbol;Acc:HGNC:30287]	ENSG00000141564	RPTOR
ENSMFAG00000000139	ARIH2	protein_coding	ariadne RBR E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:690]	ENSG00000177479	ARIH2
ENSMFAG00000000140	ADCY8	protein_coding	adenylate cyclase 8 [Source:HGNC Symbol;Acc:HGNC:239]	ENSG00000155897	ADCY8
ENSMFAG00000000141	PCLO	protein_coding	piccolo presynaptic cytomatrix protein [Source:HGNC Symbol;Acc:HGNC:13406]	ENSG00000186472	PCLO
ENSMFAG00000000142	TMCC3	protein_coding	transmembrane and coiled-coil domain family 3 [Source:HGNC Symbol;Acc:HGNC:29199]	ENSG00000057704	TMCC3
ENSMFAG00000000143	EIF4EBP2	protein_coding	eukaryotic translation initiation factor 4E binding protein 2 [Source:HGNC Symbol;Acc:HGNC:3289]	ENSG00000148730	EIF4EBP2
ENSMFAG00000000144	HUS1	protein_coding	HUS1 checkpoint clamp component [Source:HGNC Symbol;Acc:HGNC:5309]	ENSG00000136273	HUS1
ENSMFAG00000000145	SLC25A3	protein_coding	solute carrier family 25 member 3 [Source:HGNC Symbol;Acc:HGNC:10989]	ENSG00000075415	SLC25A3
ENSMFAG00000000146	BAG6	protein_coding	BCL2 associated athanogene 6 [Source:HGNC Symbol;Acc:HGNC:13919]	ENSG00000204463	BAG6
ENSMFAG00000000147	MFNG	protein_coding	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7038]	ENSG00000100060	MFNG
ENSMFAG00000000148		protein_coding	myelodysplastic syndrome 2 translocation-associated protein-like [Source:NCBI gene;Acc:102126828]		
ENSMFAG00000000149	HK3	protein_coding	hexokinase 3 [Source:HGNC Symbol;Acc:HGNC:4925]	ENSG00000160883	HK3
ENSMFAG00000000150	PCBD1	protein_coding	pterin-4 alpha-carbinolamine dehydratase 1 [Source:HGNC Symbol;Acc:HGNC:8646]	ENSG00000166228	PCBD1
ENSMFAG00000000151	DAB2	protein_coding	"DAB2, clathrin adaptor protein [Source:HGNC Symbol;Acc:HGNC:2662]"	ENSG00000153071	DAB2
ENSMFAG00000000152	ZNF229	protein_coding	zinc finger protein 229 [Source:HGNC Symbol;Acc:HGNC:13022]	ENSG00000278318	ZNF229
ENSMFAG00000000153		protein_coding			
ENSMFAG00000000154	SGSM2	protein_coding	small G protein signaling modulator 2 [Source:HGNC Symbol;Acc:HGNC:29026]	ENSG00000141258	SGSM2
ENSMFAG00000000155	MECR	protein_coding	mitochondrial trans-2-enoyl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:19691]	ENSG00000116353	MECR
ENSMFAG00000000156	KCNA7	protein_coding	potassium voltage-gated channel subfamily A member 7 [Source:HGNC Symbol;Acc:HGNC:6226]	ENSG00000104848	KCNA7
ENSMFAG00000000157		protein_coding			
ENSMFAG00000000158	SAXO1	protein_coding	stabilizer of axonemal microtubules 1 [Source:NCBI gene;Acc:101925512]	ENSG00000155875	SAXO1
ENSMFAG00000000159		protein_coding	C-C motif chemokine ligand 3 [Source:NCBI gene;Acc:102136134]	ENSG00000277632	CCL3
ENSMFAG00000000160	CCDC114	protein_coding	coiled-coil domain containing 114 [Source:HGNC Symbol;Acc:HGNC:26560]	ENSG00000105479	CCDC114
ENSMFAG00000000161	EXOSC4	protein_coding	exosome component 4 [Source:HGNC Symbol;Acc:HGNC:18189]	ENSG00000178896	EXOSC4
ENSMFAG00000000162	PDE4B	protein_coding	phosphodiesterase 4B [Source:HGNC Symbol;Acc:HGNC:8781]	ENSG00000184588	PDE4B
ENSMFAG00000000163	MYH7	protein_coding	myosin heavy chain 7 [Source:HGNC Symbol;Acc:HGNC:7577]	ENSG00000092054	MYH7
ENSMFAG00000000164	NAA11	protein_coding	"N(alpha)-acetyltransferase 11, NatA catalytic subunit [Source:HGNC Symbol;Acc:HGNC:28125]"	ENSG00000156269	NAA11
ENSMFAG00000000165	CEP120	protein_coding	centrosomal protein 120 [Source:HGNC Symbol;Acc:HGNC:26690]	ENSG00000168944	CEP120
ENSMFAG00000000166	SCGN	protein_coding	"secretagogin, EF-hand calcium binding protein [Source:HGNC Symbol;Acc:HGNC:16941]"	ENSG00000079689	SCGN
ENSMFAG00000000167	PPFIA4	protein_coding	PTPRF interacting protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:9248]	ENSG00000143847	PPFIA4
ENSMFAG00000000168	C1RL	protein_coding	complement C1r subcomponent like [Source:HGNC Symbol;Acc:HGNC:21265]	ENSG00000139178	C1RL
ENSMFAG00000000169		protein_coding			
ENSMFAG00000000170	CFTR	protein_coding	cystic fibrosis transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	ENSG00000001626	CFTR
ENSMFAG00000000171	FKBP11	protein_coding	FK506 binding protein 11 [Source:HGNC Symbol;Acc:HGNC:18624]	ENSG00000134285	FKBP11
ENSMFAG00000000172	OPN5	protein_coding	opsin 5 [Source:HGNC Symbol;Acc:HGNC:19992]	ENSG00000124818	OPN5
ENSMFAG00000000173	QSOX2	protein_coding	quiescin sulfhydryl oxidase 2 [Source:HGNC Symbol;Acc:HGNC:30249]	ENSG00000165661	QSOX2
ENSMFAG00000000174	SOS2	protein_coding	SOS Ras/Rho guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:11188]	ENSG00000100485	SOS2
ENSMFAG00000000175		protein_coding			
ENSMFAG00000000176	CTBP1	protein_coding	C-terminal binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2494]	ENSG00000159692	CTBP1
ENSMFAG00000000177		protein_coding	olfactory receptor 8S1-like [Source:NCBI gene;Acc:102116505]		
ENSMFAG00000000178	SIRT5	protein_coding	sirtuin 5 [Source:HGNC Symbol;Acc:HGNC:14933]	ENSG00000124523	SIRT5
ENSMFAG00000000179	KIFC3	protein_coding	kinesin family member C3 [Source:HGNC Symbol;Acc:HGNC:6326]	ENSG00000140859	KIFC3
ENSMFAG00000000180	CYR61	protein_coding	cysteine rich angiogenic inducer 61 [Source:HGNC Symbol;Acc:HGNC:2654]	ENSG00000142871	CYR61
ENSMFAG00000000181		protein_coding			
ENSMFAG00000000182	OR4Q2	protein_coding	olfactory receptor family 4 subfamily Q member 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:15359]	ENSG00000196383	OR4Q2
ENSMFAG00000000183	NFATC4	protein_coding	nuclear factor of activated T cells 4 [Source:HGNC Symbol;Acc:HGNC:7778]	ENSG00000100968	NFATC4
ENSMFAG00000000184	USH1C	protein_coding	USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597]	ENSG00000006611	USH1C
ENSMFAG00000000185	KCNMB3	protein_coding	potassium calcium-activated channel subfamily M regulatory beta subunit 3 [Source:HGNC Symbol;Acc:HGNC:6287]	ENSG00000171121	KCNMB3
ENSMFAG00000000186	COL28A1	protein_coding	collagen type XXVIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:22442]	ENSG00000215018	COL28A1
ENSMFAG00000000187		protein_coding			
ENSMFAG00000000188	NEB	protein_coding	nebulin [Source:HGNC Symbol;Acc:HGNC:7720]	ENSG00000183091	NEB
ENSMFAG00000000189	MINPP1	protein_coding	multiple inositol-polyphosphate phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:7102]	ENSG00000107789	MINPP1
ENSMFAG00000000190		protein_coding			
ENSMFAG00000000191	DEFB136	protein_coding	defensin beta 136 [Source:HGNC Symbol;Acc:HGNC:34433]	ENSG00000205884	DEFB136
ENSMFAG00000000192	EPHA6	protein_coding	EPH receptor A6 [Source:HGNC Symbol;Acc:HGNC:19296]	ENSG00000080224	EPHA6
ENSMFAG00000000193		protein_coding	cyclic nucleotide gated channel beta 1 [Source:NCBI gene;Acc:102140764]		
ENSMFAG00000000194		protein_coding			
ENSMFAG00000000195	NAALADL2	protein_coding	N-acetylated alpha-linked acidic dipeptidase like 2 [Source:HGNC Symbol;Acc:HGNC:23219]	ENSG00000177694	NAALADL2
ENSMFAG00000000196		protein_coding	LIM zinc finger domain containing 1 [Source:NCBI gene;Acc:102117495]	ENSG00000169756	LIMS1
ENSMFAG00000000197	NECAP2	protein_coding	NECAP endocytosis associated 2 [Source:HGNC Symbol;Acc:HGNC:25528]	ENSG00000157191	NECAP2
ENSMFAG00000000198	ABHD16A	protein_coding	abhydrolase domain containing 16A [Source:NCBI gene;Acc:101866118]	ENSG00000204427	ABHD16A
ENSMFAG00000000199	ZNF573	protein_coding	zinc finger protein 573 [Source:HGNC Symbol;Acc:HGNC:26420]	ENSG00000189144	ZNF573
ENSMFAG00000000200	SIGLECL1	protein_coding	SIGLEC family like 1 [Source:HGNC Symbol;Acc:HGNC:26856]	ENSG00000179213	SIGLECL1
ENSMFAG00000000201	NIPA2	protein_coding	NIPA magnesium transporter 2 [Source:HGNC Symbol;Acc:HGNC:17044]	ENSG00000140157	NIPA2
ENSMFAG00000000202	ACOT12	protein_coding	acyl-CoA thioesterase 12 [Source:HGNC Symbol;Acc:HGNC:24436]	ENSG00000172497	ACOT12
ENSMFAG00000000203	PDLIM3	protein_coding	PDZ and LIM domain 3 [Source:HGNC Symbol;Acc:HGNC:20767]	ENSG00000154553	PDLIM3
ENSMFAG00000000204	CASP5	protein_coding	caspase 5 [Source:HGNC Symbol;Acc:HGNC:1506]	ENSG00000137757	CASP5
ENSMFAG00000000205	ACTA2	protein_coding	"actin, alpha 2, smooth muscle, aorta [Source:HGNC Symbol;Acc:HGNC:130]"	ENSG00000107796	ACTA2
ENSMFAG00000000206	FAM91A1	protein_coding	family with sequence similarity 91 member A1 [Source:HGNC Symbol;Acc:HGNC:26306]	ENSG00000176853	FAM91A1
ENSMFAG00000000207	IGSF6	protein_coding	immunoglobulin superfamily member 6 [Source:NCBI gene;Acc:102139981]	ENSG00000140749	IGSF6
ENSMFAG00000000208	RADIL	protein_coding	Rap associating with DIL domain [Source:HGNC Symbol;Acc:HGNC:22226]	ENSG00000157927	RADIL
ENSMFAG00000000209		protein_coding	ATPase Na+/K+ transporting subunit alpha 3 [Source:NCBI gene;Acc:102122869]	ENSG00000105409	ATP1A3
ENSMFAG00000000210		protein_coding	sialic acid binding Ig like lectin 14 [Source:NCBI gene;Acc:102134314]	ENSG00000105501	SIGLEC5
ENSMFAG00000000211	TTLL4	protein_coding	tubulin tyrosine ligase like 4 [Source:HGNC Symbol;Acc:HGNC:28976]	ENSG00000135912	TTLL4
ENSMFAG00000000212	RCAN1	protein_coding	regulator of calcineurin 1 [Source:HGNC Symbol;Acc:HGNC:3040]	ENSG00000159200	RCAN1
ENSMFAG00000000213		protein_coding		ENSG00000136143	SUCLA2
ENSMFAG00000000214	HS6ST3	protein_coding	heparan sulfate 6-O-sulfotransferase 3 [Source:HGNC Symbol;Acc:HGNC:19134]	ENSG00000185352	HS6ST3
ENSMFAG00000000215		protein_coding			
